Timestamp,Campaign ID,Customer ID,Observation,Diagnosis & Reasoning,Decision,Reasoning Behind Action,Action Taken,Outcome
2026-09-02 15:32:30,camp_ord_1001,cust_1,Triggered recovery step. Link needed/regenerated for order ord_1001.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1001_1788343350_1788343350, Amount: ₹7480.12). | reasoning: Observed 'insufficient' in bank logs. Diagnosed as customer-side liquidity constraint. Chose this category because transaction was blocked due to lack of available funds/credit in their instrument.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hey Sneha Reddy 1! Aapke order 'Order #ord_1001' (₹7480.12) ka payment low balance ki wajah se fail ho gaya. Don't worry, aap instant retry karne ke liye doosra card ya UPI use kar sakte hain yahan se: https://rzp.io/i/mock_ord_1001_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1002,cust_2,Triggered recovery step. Link needed/regenerated for order ord_1002.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1002_1788343350_1788343350, Amount: ₹7430.59). | reasoning: No recognizable keywords found in raw message: 'Technical error at issuing bank: Connection timed out'. Diagnosed as an unclassified payment glitch. Chose unknown to apply a general recovery intervention.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hi Meera Nair 2, aapka ₹7430.59 ka order payment complete nahi ho paya tha. Aap is direct payment link par click karke secure checkout complete kar sakte hain: https://rzp.io/i/mock_ord_1002_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1003,cust_3,Triggered recovery step. Link needed/regenerated for order ord_1003.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1003_1788343350_1788343350, Amount: ₹559.88). | reasoning: Observed 'balance' in bank logs. Diagnosed as customer-side liquidity constraint. Chose this category because transaction was blocked due to lack of available funds/credit in their instrument.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hey Priya Patel 3! Aapke order 'Order #ord_1003' (₹559.88) ka payment low balance ki wajah se fail ho gaya. Don't worry, aap instant retry karne ke liye doosra card ya UPI use kar sakte hain yahan se: https://rzp.io/i/mock_ord_1003_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1004,cust_4,Triggered recovery step. Link needed/regenerated for order ord_1004.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1004_1788343350_1788343350, Amount: ₹5177.21). | reasoning: No recognizable keywords found in raw message: 'Technical error at issuing bank: Connection timed out'. Diagnosed as an unclassified payment glitch. Chose unknown to apply a general recovery intervention.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hi Amit Sharma 4, aapka ₹5177.21 ka order payment complete nahi ho paya tha. Aap is direct payment link par click karke secure checkout complete kar sakte hain: https://rzp.io/i/mock_ord_1004_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1005,cust_5,Triggered recovery step. Link needed/regenerated for order ord_1005.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1005_1788343350_1788343350, Amount: ₹2399.30). | reasoning: No recognizable keywords found in raw message: 'Bank authentication service unavailable (503 Service Unavailable)'. Diagnosed as an unclassified payment glitch. Chose unknown to apply a general recovery intervention.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hi Deepak Gupta 5, aapka ₹2399.30 ka order payment complete nahi ho paya tha. Aap is direct payment link par click karke secure checkout complete kar sakte hain: https://rzp.io/i/mock_ord_1005_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1006,cust_6,Triggered recovery step. Link needed/regenerated for order ord_1006.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1006_1788343350_1788343350, Amount: ₹7648.37). | reasoning: Detected explicit checkout closure keywords. Diagnosed as customer hesitation or friction. Chose this category because checkout flow was actively killed by the customer before authorization occurred.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.",Sent message: 'Hey Rahul Verma 6! Lagta hai aapka 'Order #ord_1006' (₹7648.37) ka checkout process beech me cancel ho gaya tha. Order complete karne ke liye direct link yahan hai: https://rzp.io/i/mock_ord_1006_1788343350_1788343350',"Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1007,cust_7,Triggered recovery step. Link needed/regenerated for order ord_1007.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1007_1788343350_1788343350, Amount: ₹2959.25). | reasoning: Found credential/card error patterns. Diagnosed as credential mismatch or security lock. Chose this category because details inputted (PIN/CVV/OTP) failed authorization, or the bank flagged the card as blocked.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hi Sneha Reddy 7, card details incorrect hone ya bank restrictions ki wajah se payment decline ho gaya tha. Aap UPI ya doosre card se payment retry kar sakte hain yahan se: https://rzp.io/i/mock_ord_1007_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1008,cust_8,Triggered recovery step. Link needed/regenerated for order ord_1008.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1008_1788343350_1788343350, Amount: ₹1154.27). | reasoning: Detected explicit checkout closure keywords. Diagnosed as customer hesitation or friction. Chose this category because checkout flow was actively killed by the customer before authorization occurred.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.",Sent message: 'Hey Priya Patel 8! Lagta hai aapka 'Order #ord_1008' (₹1154.27) ka checkout process beech me cancel ho gaya tha. Order complete karne ke liye direct link yahan hai: https://rzp.io/i/mock_ord_1008_1788343350_1788343350',"Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1009,cust_9,Triggered recovery step. Link needed/regenerated for order ord_1009.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1009_1788343350_1788343350, Amount: ₹6136.33). | reasoning: No recognizable keywords found in raw message: 'Checkout page abandoned by user'. Diagnosed as an unclassified payment glitch. Chose unknown to apply a general recovery intervention.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hi Amit Sharma 9, aapka ₹6136.33 ka order payment complete nahi ho paya tha. Aap is direct payment link par click karke secure checkout complete kar sakte hain: https://rzp.io/i/mock_ord_1009_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
2026-09-02 15:32:30,camp_ord_1010,cust_10,Triggered recovery step. Link needed/regenerated for order ord_1010.,"Successfully generated Razorpay payment link (ID: plink_1788343350_ord_1010_1788343350_1788343350, Amount: ₹9737.88). | reasoning: Found credential/card error patterns. Diagnosed as credential mismatch or security lock. Chose this category because details inputted (PIN/CVV/OTP) failed authorization, or the bank flagged the card as blocked.",Proceed with nudge sequence (Attempt #1).,"Payment link is active with 0% discount, allowing recovery payload delivery.","Sent message: 'Hi Rohan Das 10, card details incorrect hone ya bank restrictions ki wajah se payment decline ho gaya tha. Aap UPI ya doosre card se payment retry kar sakte hain yahan se: https://rzp.io/i/mock_ord_1010_1788343350_1788343350'","Campaign updated: outbound_count=1, status='active'."
